epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,509.183,1.05188,1.64908,1.75604,0.06924,0.51484,0.26474,0.26163,0.19984,0.81236,1.34585,1.46076,0.03597,0.000333037,0.000333037,0.0670293
2,1002.7,0.83376,1.25071,1.44318,0.04273,0.64603,0.31288,0.32987,0.26447,0.6746,1.03793,1.28472,0.02168,0.000658124,0.000658124,0.0340211
3,1495.28,0.75912,1.15501,1.33199,0.03976,0.47938,0.33121,0.34357,0.2807,0.60326,0.95678,1.1981,0.0205,0.000974961,0.000974961,0.00100459
4,1986.52,0.70239,1.07662,1.26575,0.036,0.8509,0.33777,0.37191,0.30983,0.56612,0.88735,1.1528,0.02002,0.000962875,0.000962875,0.000962875
5,2478.12,0.65811,1.0211,1.22576,0.03151,0.60163,0.41576,0.39059,0.33045,0.53121,0.84207,1.12599,0.01584,0.0009505,0.0009505,0.0009505
6,2969.93,0.63345,0.98451,1.20273,0.02879,0.75598,0.40692,0.38273,0.32366,0.5264,0.82488,1.12262,0.01634,0.000938125,0.000938125,0.000938125
7,3462.52,0.61734,0.9546,1.18875,0.02736,0.69815,0.43541,0.49109,0.42311,0.4929,0.76984,1.09673,0.01243,0.00092575,0.00092575,0.00092575
8,3955.79,0.5995,0.93213,1.17157,0.02568,0.72253,0.45178,0.48697,0.41488,0.4921,0.75806,1.08566,0.0123,0.000913375,0.000913375,0.000913375
9,4451.86,0.59176,0.91273,1.16512,0.02521,0.64786,0.49465,0.49529,0.42358,0.48658,0.74278,1.08109,0.01354,0.000901,0.000901,0.000901
10,4948.78,0.57994,0.89581,1.15504,0.02371,0.60627,0.52333,0.52494,0.4432,0.47065,0.71595,1.0659,0.01128,0.000888625,0.000888625,0.000888625
11,5444.55,0.56844,0.88327,1.14592,0.02258,0.5103,0.57892,0.56081,0.4729,0.46134,0.70898,1.06272,0.01211,0.00087625,0.00087625,0.00087625
12,5942.83,0.56497,0.87303,1.14344,0.02292,0.57826,0.61067,0.59112,0.51634,0.45441,0.67954,1.05948,0.01262,0.000863875,0.000863875,0.000863875
13,6437.93,0.55448,0.86125,1.13523,0.02163,0.58182,0.6117,0.57996,0.50975,0.45466,0.67583,1.0532,0.01105,0.0008515,0.0008515,0.0008515
14,6932.31,0.55587,0.85934,1.13453,0.02149,0.57349,0.62658,0.55807,0.48523,0.43523,0.68292,1.04337,0.0099,0.000839125,0.000839125,0.000839125
15,7429.4,0.5444,0.84483,1.12575,0.02019,0.58698,0.61013,0.56759,0.49886,0.43079,0.6537,1.03612,0.00999,0.00082675,0.00082675,0.00082675
16,7928.56,0.54254,0.83503,1.12238,0.01991,0.64849,0.61881,0.59979,0.52225,0.42875,0.64038,1.03379,0.01004,0.000814375,0.000814375,0.000814375
17,8423.36,0.53246,0.82432,1.11581,0.0194,0.63662,0.60474,0.58859,0.51368,0.42392,0.63932,1.0357,0.00943,0.000802,0.000802,0.000802
18,8917.4,0.53165,0.82059,1.11186,0.01927,0.58548,0.62417,0.58462,0.50846,0.42213,0.63889,1.02877,0.00927,0.000789625,0.000789625,0.000789625
19,9429.47,0.5277,0.81548,1.11204,0.01893,0.56535,0.63892,0.60952,0.53252,0.41108,0.62456,1.01904,0.00995,0.00077725,0.00077725,0.00077725
20,9996.61,0.52966,0.81119,1.11054,0.01882,0.73718,0.60303,0.62932,0.54795,0.41074,0.60965,1.01823,0.00858,0.000764875,0.000764875,0.000764875
21,10491.5,0.51893,0.80436,1.10482,0.01857,0.666,0.63296,0.63499,0.56301,0.40404,0.6172,1.01179,0.00881,0.0007525,0.0007525,0.0007525
22,10985.9,0.51308,0.79567,1.0975,0.018,0.76915,0.5963,0.64348,0.57086,0.39994,0.60332,1.00804,0.00837,0.000740125,0.000740125,0.000740125
23,11480.7,0.51155,0.79273,1.0975,0.01786,0.59717,0.65296,0.62521,0.55197,0.39999,0.59818,1.00585,0.00901,0.00072775,0.00072775,0.00072775
